actor,degree,betweenness,eigenvector,closeness,pagerank
Joju George,0.12,0.20037632275132292,0.3073225670262753,0.293733681462141,0.01038075322145555
Alencier Ley Lopez,0.12,0.21857142857142858,0.14424362002554258,0.24671052631578946,0.010922575819261858
Manju Warrier,0.10222222222222223,0.08743716931216933,0.1539676491433549,0.24916943521594684,0.01018912255719313
Poonam Kaur,0.08888888888888889,0.22410218253968267,0.08746905169478225,0.30080213903743314,0.008814842330208919
Sathyaraj,0.08,0.07714285714285714,0.009230766500649312,0.19754170324846357,0.007531224085299637
Dileesh Pothan,0.08,0.05812433862433863,0.19119356034885537,0.2542372881355932,0.0071090739210519635
Kunchacko Boban,0.08,0.06250330687830688,0.18459549143183232,0.25597269624573377,0.0073273178457244
Anusree,0.08,0.2777744708994708,0.18896411107019898,0.29450261780104714,0.00722259410335102
Lal,0.08,0.14785714285714285,0.056972186816987944,0.24671052631578946,0.007358106531225333
Balachandran Chullikadu,0.08,0.07714285714285714,0.020541394929944494,0.20270270270270271,0.007632589387830454
Thambi Ramaiah,0.08,0.21214285714285713,0.009465140760878942,0.20071364852809992,0.007478488592517258
S.J. Suryah,0.08,0.32142857142857145,0.0235538262901675,0.23243801652892562,0.007360174145760966
V. Jayaprakash,0.08,0.1848131613756614,0.047455978629385054,0.2653301886792453,0.007315592704441347
Siddique,0.08,0.040613095238095163,0.17403683369978173,0.24298056155507558,0.00723696473087562
Mamta Mohandas,0.08,0.08853703703703703,0.11530280163766886,0.25655644241733183,0.007183990127465104
Manobala,0.08,0.14785714285714285,0.0034593673581162377,0.17294388931591084,0.008053536899803348
Vennela Kishore,0.08,0.01152328987150416,0.06941529096721327,0.251959686450168,0.007269715407657565
Rahul Nair,0.08,0.07714285714285714,0.05199660825488793,0.20270270270270271,0.007613538890096068
Ashokan,0.08,0.033335978835978844,0.14486139757592126,0.23340248962655602,0.00720683849740835
Makrand Deshpande,0.07555555555555556,0.17000330687830686,0.1415867246957404,0.2840909090909091,0.007126665430622391
Pooja Gandhi,0.07555555555555556,0.07714616402116403,0.04300335037432469,0.22796352583586627,0.007532079409352743
Nagineedu,0.06666666666666667,0.17628968253968255,0.030951720723197636,0.2640845070422535,0.0066424647550871255
Shine Tom Chacko,0.06666666666666667,0.02402248677248678,0.16332842430361158,0.2459016393442623,0.0062859307099474996
Prakash Raj,0.06666666666666667,0.19914118008314435,0.08256317805555659,0.2922077922077922,0.006132305218899255
Indrans,0.06666666666666667,0.006648148148148144,0.11699626153067746,0.20949720670391062,0.0063820258987648
Surbhi,0.06666666666666667,0.20642408352229782,0.07175744970086799,0.2992021276595745,0.00613763923208531
Saikumar,0.06666666666666667,0.013733465608465617,0.14869705193944893,0.2336448598130841,0.006345997534163337
Jagapathi Babu,0.06666666666666667,0.40945864040060476,0.15037733045153515,0.3191489361702128,0.006064296324777797
Manoj Kumar Manchu,0.06222222222222222,0.02260582010582008,0.07956534596295307,0.2767527675276753,0.006168046079563416
Mayilsamy,0.06222222222222222,0.04365079365079365,0.0010188806544797519,0.1497005988023952,0.0074947669007617975
Arundhathi,0.057777777777777775,0.03507936507936508,0.0010029821638399647,0.14960106382978725,0.007163472027564945
Kari Subbu,0.05333333333333333,0.01746031746031746,0.040901426330143174,0.22658610271903323,0.00637153426923809
Ravi Kale,0.05333333333333333,0.01746031746031746,0.04090142633014316,0.22658610271903323,0.006371534269238089
Divya Prabha,0.04,0.0,0.08581490389048088,0.23961661341853036,0.0039810410364147075
Srinivas Avasarala,0.04,0.0,0.033233826179041144,0.24807056229327454,0.003922609152260221
Raghav Umasrinivasan,0.04,0.0,0.0009664654920917042,0.14920424403183025,0.004542238900865926
Mithun Ramesh,0.04,0.0,0.0767819481296624,0.20435967302452315,0.00394003175420026
Bindu Chandramouli,0.04,0.0,0.033233826179041144,0.24807056229327454,0.003922609152260221
Harisree Ashokan,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Don Mathew,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Dasari Arun Kumar,0.04,0.0,0.033233826179041144,0.24807056229327454,0.003922609152260221
Bharath Srinivasan,0.04,0.0,0.017966055840992815,0.22211253701875616,0.003999425311311465
John Vijay,0.04,0.0,0.0027658899918344085,0.17058377558756635,0.0041177397580677575
Dinesh Panicker,0.04,0.0,0.0767819481296624,0.20435967302452315,0.00394003175420026
Bharathi,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Sudhi Koppa,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Nani,0.04,1.948696145124716e-05,0.04165763886801767,0.2356020942408377,0.003953548014527683
Joy Badlani,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
